car_id,company,model,km,year,costPerDay
73,Mazda,CX-30,35000,2022,175
74,Subaru,Forester,78000,2019,195
75,Jeep,Gladiator,54000,2020,240
76,Toyota,Tacoma,67000,2020,205
77,Honda,Ridgeline,85000,2018,215
78,Ford,Ranger,92000,2018,190
79,Chevrolet,Colorado,74000,2019,185
80,Nissan,Frontier,96000,2017,175
81,Hyundai,Santa Cruz,22000,2023,200
82,Kia,Sportage,61000,2020,180
83,Volkswagen,Tiguan,58000,2020,195
84,BMW,X1,49000,2021,290
85,Mercedes,GLA,43000,2021,310
86,Audi,Q3,38000,2022,285
87,Lexus,UX,51000,2020,240
88,Mazda,CX-3,87000,2018,165
89,Subaru,Crosstrek,73000,2019,185
90,Jeep,Renegade,89000,2018,170
91,Toyota,Sienna,46000,2021,200
92,Honda,Odyssey,68000,2020,195
93,Ford,Transit,124000,2017,160
94,Chevrolet,Express,135000,2016,155
95,Nissan,NV200,98000,2018,150
96,Hyundai,Venue,25000,2023,140
97,Kia,Rio,64000,2020,135
98,Volkswagen,Arteon,52000,2020,245
99,BMW,430i,39000,2022,330
100,Mercedes,CLA,45000,2021,295
101,Toyota,Yaris,18000,2024,130
102,Honda,Fit,71000,2019,125
103,Ford,Fiesta,85000,2018,120
104,Chevrolet,Spark,76000,2019,115
105,Nissan,Versa,59000,2020,125
106,Hyundai,Accent,82000,2018,120
107,Kia,Forte,67000,2020,140
108,Volkswagen,Polo,54000,2020,145
109,BMW,M3,31000,2022,450
110,Mercedes,AMG C63,36000,2022,480
111,Audi,S4,42000,2021,420
112,Lexus,RC,58000,2020,285
113,Mazda,MX-5,41000,2021,220
114,Subaru,WRX,49000,2021,250
115,Jeep,Grand Cherokee SRT,73000,2019,320
116,Toyota,Land Cruiser,84000,2018,350
117,Honda,Passport,62000,2020,210
118,Ford,Bronco,35000,2022,270
119,Chevrolet,Suburban,95000,2018,290
120,Nissan,Pathfinder,71000,2019,195
121,Hyundai,Sonata,38000,2022,175
122,Kia,K5,44000,2021,180
123,Volkswagen,CC,89000,2018,165
124,BMW,540i,47000,2021,380
125,Mercedes,S-Class,53000,2020,480
126,Audi,A8,65000,2019,450
127,Lexus,LS,79000,2018,420
128,Mazda,CX-8,56000,2020,215
129,Subaru,Tribeca,112000,2017,175
130,Jeep,Commander,134000,2016,155
131,Toyota,Avalon,41000,2021,190
132,Honda,Clarity,48000,2021,165
133,Ford,Taurus,97000,2018,145
134,Chevrolet,Impala,103000,2017,140
135,Nissan,Maxima,69000,2019,185
136,Hyundai,Azera,87000,2018,170
137,Kia,Cadenza,92000,2018,175
138,Volkswagen,Phaeton,156000,2015,195
139,BMW,750i,76000,2019,520
140,Mercedes,Maybach,45000,2021,680
141,Audi,A7,52000,2020,395
142,Lexus,GS,83000,2018,315
143,Mazda,RX-8,134000,2016,185
144,Subaru,BRZ,67000,2020,235
145,Jeep,Liberty,123000,2017,135
146,Toyota,FJ Cruiser,98000,2018,245
147,Honda,Element,145000,2015,155
148,Ford,Flex,109000,2017,165
149,Chevrolet,HHR,128000,2016,125
150,Nissan,Cube,87000,2018,130
151,Hyundai,Veloster,74000,2019,155
152,Kia,Soul,69000,2020,150
153,Volkswagen,Beetle,81000,2018,160
154,BMW,i3,92000,2018,285
155,Mercedes,EQC,34000,2022,395
156,Audi,e-tron,47000,2021,380
157,Lexus,ES Hybrid,51000,2020,215
158,Mazda,CX-5 Diesel,86000,2018,205
159,Subaru,XV Hybrid,63000,2020,195
160,Jeep,Grand Cherokee Hybrid,48000,2021,225
161,Toyota,Camry Hybrid,29000,2023,195
162,Honda,Accord Hybrid,43000,2021,210
163,Ford,Fusion Hybrid,76000,2019,175
164,Chevrolet,Malibu Hybrid,68000,2020,180
165,Nissan,Altima AWD,55000,2020,185
166,Hyundai,Ioniq,37000,2022,170
167,Kia,Niro,52000,2020,165
168,Volkswagen,e-Golf,41000,2021,190
169,BMW,i8,58000,2020,650
170,Mercedes,EQS,26000,2023,580
171,Audi,RS7,39000,2022,495
172,Lexus,LC,64000,2019,450
173,Mazda,CX-90,18000,2024,265
174,Subaru,Solterra,21000,2023,225
175,Jeep,Grand Wagoneer,33000,2022,380
176,Toyota,Venza,45000,2021,205
177,Honda,HR-V,72000,2019,170
178,Ford,EcoSport,95000,2018,155
179,Chevrolet,Trax,81000,2018,160
180,Nissan,Kicks,59000,2020,145
181,Hyundai,Kona,46000,2021,165
182,Kia,Seltos,38000,2022,175
183,Volkswagen,Taos,32000,2022,185
184,BMW,X2,54000,2020,315
185,Mercedes,GLB,49000,2021,335
186,Audi,Q2,67000,2019,275
187,Lexus,GX Hybrid,41000,2021,345
188,Mazda,CX-50,24000,2023,210
189,Subaru,Wilderness,35000,2022,245
190,Jeep,Avenger,19000,2024,165
191,Toyota,GR86,28000,2023,240
192,Honda,Civic Si,41000,2021,185
193,Ford,Mustang Mach-E,37000,2022,285
194,Chevrolet,Bolt EV,54000,2020,195
195,Nissan,Leaf,63000,2020,180
196,Hyundai,Ioniq 5,29000,2023,215
197,Kia,EV6,31000,2023,225
198,Volkswagen,ID.4,26000,2023,205
199,BMW,iX,23000,2023,420
200,Mercedes,EQE,28000,2023,450
201,Audi,Q4 e-tron,35000,2022,365
202,Lexus,RZ,22000,2023,285
203,Mazda,MX-30,48000,2021,175
204,Subaru,Crosstrek Hybrid,56000,2020,200
205,Jeep,4xe,42000,2021,235
206,Toyota,Prius Prime,33000,2022,175
207,Honda,Clarity PHEV,67000,2019,185
208,Ford,Escape PHEV,51000,2020,195
209,Chevrolet,Volt,89000,2018,165
210,Nissan,Ariya,25000,2023,250
211,Hyundai,Tucson PHEV,36000,2022,205
212,Kia,Sorento PHEV,43000,2021,220
213,Volkswagen,ID.Buzz,18000,2024,275
214,BMW,X5 PHEV,48000,2021,395
215,Mercedes,GLE PHEV,52000,2020,425
216,Audi,Q5 PHEV,44000,2021,385
217,Lexus,NX Hybrid,39000,2022,265
218,Mazda,CX-70,16000,2024,245
219,Subaru,Crosstrek Sport,61000,2020,195
220,Jeep,Wagoneer,47000,2021,295
221,Toyota,Sequoia,73000,2019,265
222,Honda,Pilot Elite,58000,2020,245
223,Ford,Expedition,84000,2018,255
224,Chevrolet,Yukon,96000,2018,275
225,Nissan,Armada Platinum,69000,2019,285
226,Hyundai,Genesis GV80,41000,2021,345
227,Kia,Telluride SX,34000,2022,265
228,Volkswagen,Atlas Cross Sport,55000,2020,235
229,BMW,X6,46000,2021,465
230,Mercedes,GLE Coupe,53000,2020,485
231,Audi,Q8 Sportback,42000,2021,475
232,Lexus,GX 460,87000,2018,295
233,Mazda,CX-60,27000,2023,225
234,Subaru,Outback XT,49000,2021,215
235,Jeep,Grand Cherokee L,38000,2022,245
236,Toyota,4Runner,91000,2018,235
237,Honda,Ridgeline RTL,72000,2019,235
238,Ford,F-250,118000,2017,245
239,Chevrolet,Silverado HD,125000,2017,255
240,Nissan,Titan,103000,2017,220
241,Hyundai,Santa Fe Sport,94000,2018,175
242,Kia,Sorento LX,78000,2019,185
243,Volkswagen,Touareg TDI,145000,2015,195
244,BMW,X3 M,37000,2022,425
245,Mercedes,AMG GLC 63,41000,2021,455
246,Audi,SQ5,45000,2021,395
247,Lexus,GS F,76000,2019,385
248,Mazda,CX-5 Turbo,52000,2020,205
249,Subaru,Outback Touring,64000,2020,225
250,Jeep,Grand Cherokee Trackhawk,58000,2020,385
251,Toyota,Supra,34000,2022,295
252,Honda,Type R,29000,2023,265
253,Ford,Shelby GT500,31000,2022,450
254,Chevrolet,Corvette,26000,2023,395
255,Nissan,GT-R,48000,2021,485
256,Hyundai,N Line,35000,2022,195
257,Kia,GT Line,42000,2021,205
258,Volkswagen,GLI,46000,2021,185
259,BMW,M4,33000,2022,475
260,Mercedes,AMG E63,39000,2022,525
261,Audi,RS6,36000,2022,595
262,Lexus,RC F,54000,2020,365
263,Mazda,Miata RF,43000,2021,245
264,Subaru,STI,47000,2021,285
265,Jeep,SRT Hellcat,62000,2019,395
266,Toyota,Tundra,85000,2018,225
267,Honda,Passport Elite,67000,2020,225
268,Ford,Raptor,74000,2019,385
269,Chevrolet,ZR2,69000,2020,295
270,Nissan,Pro-4X,88000,2018,195
271,Hyundai,N Performance,32000,2022,215
272,Kia,GT-Line AWD,45000,2021,195
273,Volkswagen,R-Line,51000,2020,205
274,BMW,M Performance,38000,2022,365
275,Mercedes,AMG Line,44000,2021,335
276,Audi,S Line,47000,2021,315
277,Lexus,F Sport,59000,2020,275
278,Mazda,Signature,56000,2020,195
279,Subaru,Limited XT,61000,2020,235
280,Jeep,Summit,73000,2019,265
281,Toyota,TRD Pro,68000,2020,255
282,Honda,Sport Touring,54000,2020,205
283,Ford,ST Line,63000,2020,195
284,Chevrolet,RS,71000,2019,185
285,Nissan,SR,76000,2019,165
286,Hyundai,Ultimate,39000,2022,225
287,Kia,SX Turbo,48000,2021,215
288,Volkswagen,SEL Premium,52000,2020,225
289,BMW,xDrive,49000,2021,345
290,Mercedes,4MATIC,53000,2020,365
291,Audi,Quattro,46000,2021,355
292,Lexus,AWD,61000,2020,255
293,Mazda,AWD Turbo,57000,2020,215
294,Subaru,Symmetrical AWD,65000,2020,205
295,Jeep,Trail Rated,79000,2019,245
296,Toyota,All-Trac,92000,2018,195
297,Honda,SH-AWD,58000,2020,215
298,Ford,Intelligent AWD,66000,2020,185
299,Chevrolet,All-Wheel Drive,74000,2019,195
300,Nissan,Intelligent AWD,71000,2019,175
301,Hyundai,HTRAC,41000,2021,185
302,Kia,AWD,46000,2021,195
303,Volkswagen,4MOTION,54000,2020,215
304,BMW,iDrive,43000,2021,385
305,Mercedes,MBUX,47000,2021,395
306,Audi,Virtual Cockpit,49000,2021,375
307,Lexus,Enform,63000,2020,245
308,Mazda,MAZDA CONNECT,59000,2020,175
309,Subaru,STARLINK,67000,2020,185
310,Jeep,Uconnect,75000,2019,205
311,Toyota,Entune,86000,2018,165
312,Honda,HondaLINK,62000,2020,185
313,Ford,SYNC,68000,2020,175
314,Chevrolet,MyLink,76000,2019,165
315,Nissan,NissanConnect,73000,2019,155
316,Hyundai,Blue Link,43000,2021,175
317,Kia,UVO,48000,2021,185
318,Volkswagen,Car-Net,56000,2020,195
319,BMW,ConnectedDrive,45000,2021,365
320,Mercedes,Mercedes me,49000,2021,385
321,Audi,Audi Connect,51000,2020,365
322,Lexus,Lexus Enform,65000,2020,235
323,Mazda,MAZDA Connected Services,61000,2020,165
324,Subaru,MySubaru,69000,2020,175
325,Jeep,SiriusXM Guardian,77000,2019,195
326,Toyota,Safety Sense,31000,2022,155
327,Honda,Sensing,37000,2022,165
328,Ford,Co-Pilot360,44000,2021,175
329,Chevrolet,Safety Assist,52000,2020,165
330,Nissan,Safety Shield,49000,2021,155
331,Hyundai,SmartSense,35000,2022,165
332,Kia,Drive Wise,41000,2021,175
333,Volkswagen,IQ.DRIVE,47000,2021,185
334,BMW,Driving Assistant,39000,2022,355
335,Mercedes,Driver Assistance,43000,2021,375
336,Audi,Pre Sense,45000,2021,355
337,Lexus,Safety System,57000,2020,225
338,Mazda,i-ACTIVSENSE,55000,2020,155
339,Subaru,EyeSight,63000,2020,165
340,Jeep,Advanced Safety,71000,2019,185
341,Toyota,Hybrid Synergy,33000,2022,185
342,Honda,i-MMD,39000,2022,195
343,Ford,Hybrid,48000,2021,185
344,Chevrolet,eAssist,56000,2020,175
345,Nissan,e-POWER,43000,2021,165
346,Hyundai,Blue Drive,37000,2022,175
347,Kia,EcoDynamics,43000,2021,185
348,Volkswagen,TSI,51000,2020,195
349,BMW,eDrive,41000,2021,365
350,Mercedes,EQ Power,45000,2021,385
351,Audi,TFSI e,47000,2021,365
352,Lexus,Multi Stage Hybrid,59000,2020,235
353,Mazda,Skyactiv,57000,2020,165
354,Subaru,e-Boxer,65000,2020,175
355,Jeep,eTorque,73000,2019,195
356,Toyota,GR Sport,35000,2022,205
357,Honda,Sport Mode,41000,2021,185
358,Ford,Performance,53000,2020,215
359,Chevrolet,Performance,61000,2020,205
360,Nissan,NISMO,58000,2020,225
361,Hyundai,N,29000,2023,235
362,Kia,GT,36000,2022,225
363,Volkswagen,GTI,43000,2021,245
364,BMW,M Sport,37000,2022,385
365,Mercedes,AMG,41000,2021,415
366,Audi,S,43000,2021,395
367,Lexus,F,55000,2020,265
368,Mazda,Turbo,51000,2020,185
369,Subaru,Sport,59000,2020,195
370,Jeep,SRT,67000,2019,275
371,Toyota,TRD,71000,2019,225
372,Honda,Si,47000,2021,195
373,Ford,ST,59000,2020,235
374,Chevrolet,SS,78000,2019,255
375,Nissan,Sport,74000,2019,185
376,Hyundai,Sport Plus,33000,2022,195
377,Kia,S,40000,2021,205
378,Volkswagen,Sport,49000,2021,215
379,BMW,Sport Line,43000,2021,365
380,Mercedes,Sport,47000,2021,385
381,Audi,Sport Plus,45000,2021,375
382,Lexus,Sport Plus,61000,2020,255
383,Mazda,Sport Select,55000,2020,175
384,Subaru,Sport Sharp,61000,2020,185
385,Jeep,Sport Plus,69000,2019,225
386,Toyota,Comfort,89000,2018,145
387,Honda,Comfort,67000,2020,155
388,Ford,Comfort,82000,2018,145
389,Chevrolet,Comfort,94000,2018,135
390,Nissan,Comfort,71000,2019,135
391,Hyundai,Comfort,51000,2020,145
392,Kia,Comfort,58000,2020,155
393,Volkswagen,Comfort,65000,2020,165
394,BMW,Comfort,56000,2020,295
395,Mercedes,Comfort,62000,2020,315
396,Audi,Comfort,59000,2020,305
397,Lexus,Comfort,78000,2019,215
398,Mazda,Comfort,74000,2019,145
399,Subaru,Comfort,81000,2018,155
400,Jeep,Comfort,97000,2018,165
401,Toyota,ECO,27000,2023,135
402,Honda,ECO,34000,2022,145
403,Ford,ECO,46000,2021,135
404,Chevrolet,ECO,53000,2020,125
405,Nissan,ECO,41000,2021,125
406,Hyundai,ECO,29000,2023,135
407,Kia,ECO,36000,2022,145
408,Volkswagen,ECO,43000,2021,155
409,BMW,ECO PRO,31000,2022,275
410,Mercedes,ECO,35000,2022,295
411,Audi,Efficiency,37000,2022,285
412,Lexus,ECO,49000,2021,195
413,Mazda,ECO,45000,2021,135
414,Subaru,ECO,52000,2020,145
415,Jeep,ECO,68000,2019,155
416,Toyota,Base,142000,2015,95
417,Honda,Base,134000,2016,105
418,Ford,Base,156000,2014,85
419,Chevrolet,Base,167000,2013,75
420,Nissan,Base,149000,2015,85
421,Hyundai,Base,123000,2016,95
422,Kia,Base,138000,2015,105
423,Volkswagen,Base,151000,2014,115
424,BMW,Base,98000,2017,195
425,Mercedes,Base,87000,2018,215
426,Audi,Base,92000,2017,205
427,Lexus,Base,114000,2016,155
428,Mazda,Base,126000,2016,105
429,Subaru,Base,139000,2015,115
430,Jeep,Base,162000,2013,125
431,Toyota,Standard,118000,2016,115
432,Honda,Standard,106000,2017,125
433,Ford,Standard,132000,2015,105
434,Chevrolet,Standard,143000,2014,95
435,Nissan,Standard,125000,2016,105
436,Hyundai,Standard,99000,2017,115
437,Kia,Standard,114000,2016,125
438,Volkswagen,Standard,127000,2015,135
439,BMW,Standard,74000,2018,225
440,Mercedes,Standard,63000,2019,245
441,Audi,Standard,68000,2018,235
442,Lexus,Standard,90000,2017,175
443,Mazda,Standard,102000,2017,125
444,Subaru,Standard,115000,2016,135
445,Jeep,Standard,138000,2014,145
446,Toyota,Classic,189000,2012,65
447,Honda,Classic,176000,2013,75
448,Ford,Classic,203000,2011,55
449,Chevrolet,Classic,218000,2010,45
450,Nissan,Classic,194000,2012,55
451,Hyundai,Classic,167000,2013,65
452,Kia,Classic,182000,2012,75
453,Volkswagen,Classic,195000,2011,85
454,BMW,Classic,134000,2014,125
455,Mercedes,Classic,123000,2015,145
456,Audi,Classic,128000,2014,135
457,Lexus,Classic,156000,2013,105
458,Mazda,Classic,168000,2013,85
459,Subaru,Classic,181000,2012,95
460,Jeep,Classic,204000,2010,105
461,Toyota,Vintage,267000,2008,35
462,Honda,Vintage,254000,2009,45
463,Ford,Vintage,281000,2007,25
464,Chevrolet,Vintage,296000,2006,15
465,Nissan,Vintage,272000,2008,25
466,Hyundai,Vintage,245000,2009,35
467,Kia,Vintage,260000,2008,45
468,Volkswagen,Vintage,273000,2007,55
469,BMW,Vintage,212000,2010,85
470,Mercedes,Vintage,201000,2011,105
471,Audi,Vintage,206000,2010,95
472,Lexus,Vintage,234000,2009,75
473,Mazda,Vintage,246000,2009,55
474,Subaru,Vintage,259000,2008,65
475,Jeep,Vintage,282000,2007,75
476,Toyota,Executive,52000,2020,285
477,Honda,Executive,68000,2019,275
478,Ford,Executive,84000,2018,255
479,Chevrolet,Executive,71000,2019,265
480,Nissan,Executive,59000,2020,245
481,Hyundai,Executive,43000,2021,255
482,Kia,Executive,56000,2020,265
483,Volkswagen,Executive,63000,2020,285
484,BMW,Executive,47000,2021,425
485,Mercedes,Executive,54000,2020,455
486,Audi,Executive,51000,2020,435
487,Lexus,Executive,67000,2019,345
488,Mazda,Executive,73000,2019,235
489,Subaru,Executive,79000,2018,245
490,Jeep,Executive,91000,2018,275
491,Toyota,Premium,38000,2022,325
492,Honda,Premium,45000,2021,315
493,Ford,Premium,61000,2020,295
494,Chevrolet,Premium,48000,2021,305
495,Nissan,Premium,36000,2022,285
496,Hyundai,Premium,31000,2023,295
497,Kia,Premium,42000,2021,305
498,Volkswagen,Premium,49000,2021,325
499,BMW,Premium,33000,2022,465
500,Mercedes,Premium,40000,2021,495
